FIPS,State,County,Area_name,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
00000,US,United States,United States,5.788697231210938,8.070436331325027,4.8690066110480466
01000,AL,Alabama,Alabama,5.7,8.0,5.8
01001,AL,Autauga County,"Autauga County, AL",5.1,6.9,5.1
01003,AL,Baldwin County,"Baldwin County, AL",4.6,7.5,5.3
01005,AL,Barbour County,"Barbour County, AL",8.8,11.5,8.3
01007,AL,Bibb County,"Bibb County, AL",5.8,8.5,6.4
01009,AL,Blount County,"Blount County, AL",4.7,6.9,5.4
01011,AL,Bullock County,"Bullock County, AL",10.5,10.4,6.8
01013,AL,Butler County,"Butler County, AL",8.5,11.5,6.9
01015,AL,Calhoun County,"Calhoun County, AL",5.7,8.9,6.5
01017,AL,Chambers County,"Chambers County, AL",14.4,9.9,5.4
01019,AL,Cherokee County,"Cherokee County, AL",5.7,8.0,5.0
01021,AL,Chilton County,"Chilton County, AL",5.1,7.2,5.5
01023,AL,Choctaw County,"Choctaw County, AL",8.3,10.3,8.5
01025,AL,Clarke County,"Clarke County, AL",9.0,15.0,10.8
01027,AL,Clay County,"Clay County, AL",7.9,9.4,5.9
01029,AL,Cleburne County,"Cleburne County, AL",5.1,8.2,6.0
01031,AL,Coffee County,"Coffee County, AL",4.8,7.0,5.8
01033,AL,Colbert County,"Colbert County, AL",6.5,8.8,6.9
01035,AL,Conecuh County,"Conecuh County, AL",9.4,11.9,8.4
01037,AL,Coosa County,"Coosa County, AL",8.3,9.4,6.0
01039,AL,Covington County,"Covington County, AL",5.9,8.4,6.7
01041,AL,Crenshaw County,"Crenshaw County, AL",5.6,8.3,5.8
01043,AL,Cullman County,"Cullman County, AL",4.9,7.7,5.0
01045,AL,Dale County,"Dale County, AL",5.4,7.4,5.8
01047,AL,Dallas County,"Dallas County, AL",11.1,12.9,9.2
01049,AL,DeKalb County,"DeKalb County, AL",5.8,9.0,6.0
01051,AL,Elmore County,"Elmore County, AL",5.1,6.9,4.7
01053,AL,Escambia County,"Escambia County, AL",7.6,9.2,6.6
01055,AL,Etowah County,"Etowah County, AL",6.0,8.2,5.9
01057,AL,Fayette County,"Fayette County, AL",7.2,8.6,6.7
01059,AL,Franklin County,"Franklin County, AL",7.4,8.4,5.9
01061,AL,Geneva County,"Geneva County, AL",5.5,7.6,5.8
01063,AL,Greene County,"Greene County, AL",8.5,13.6,9.9
01065,AL,Hale County,"Hale County, AL",7.4,11.5,7.6
01067,AL,Henry County,"Henry County, AL",7.7,8.3,6.5
01069,AL,Houston County,"Houston County, AL",4.9,7.5,5.8
01071,AL,Jackson County,"Jackson County, AL",6.2,8.6,6.3
01073,AL,Jefferson County,"Jefferson County, AL",5.4,7.4,5.7
01075,AL,Lamar County,"Lamar County, AL",8.0,7.5,5.6
01077,AL,Lauderdale County,"Lauderdale County, AL",5.7,7.7,6.3
01079,AL,Lawrence County,"Lawrence County, AL",6.5,9.0,6.9
01081,AL,Lee County,"Lee County, AL",5.2,6.8,5.2
01083,AL,Limestone County,"Limestone County, AL",4.7,6.9,5.2
01085,AL,Lowndes County,"Lowndes County, AL",10.9,15.4,10.5
01087,AL,Macon County,"Macon County, AL",7.4,10.7,7.6
01089,AL,Madison County,"Madison County, AL",4.2,6.9,5.1
01091,AL,Marengo County,"Marengo County, AL",7.4,10.2,7.1
01093,AL,Marion County,"Marion County, AL",8.0,8.9,6.6
01095,AL,Marshall County,"Marshall County, AL",4.7,7.8,5.3
01097,AL,Mobile County,"Mobile County, AL",5.7,9.2,6.6
01099,AL,Monroe County,"Monroe County, AL",10.2,12.5,9.0
01101,AL,Montgomery County,"Montgomery County, AL",5.9,8.1,5.6
01103,AL,Morgan County,"Morgan County, AL",5.2,7.8,5.5
01105,AL,Perry County,"Perry County, AL",11.3,13.3,10.3
01107,AL,Pickens County,"Pickens County, AL",7.1,10.2,6.8
01109,AL,Pike County,"Pike County, AL",4.9,8.0,6.5
01111,AL,Randolph County,"Randolph County, AL",7.3,9.2,5.6
01113,AL,Russell County,"Russell County, AL",8.0,8.8,5.5
01115,AL,St. Clair County,"St. Clair County, AL",5.0,6.9,5.2
01117,AL,Shelby County,"Shelby County, AL",3.7,5.0,4.3
01119,AL,Sumter County,"Sumter County, AL",8.7,10.5,7.7
01121,AL,Talladega County,"Talladega County, AL",7.2,9.4,6.6
01123,AL,Tallapoosa County,"Tallapoosa County, AL",7.2,8.6,5.6
01125,AL,Tuscaloosa County,"Tuscaloosa County, AL",4.7,7.0,5.6
01127,AL,Walker County,"Walker County, AL",5.7,9.2,7.4
01129,AL,Washington County,"Washington County, AL",8.4,11.9,8.6
01131,AL,Wilcox County,"Wilcox County, AL",14.0,19.9,14.4
01133,AL,Winston County,"Winston County, AL",8.7,10.0,7.1
02000,AK,Alaska,Alaska,6.7,7.1,6.9
02013,AK,Aleutians East Borough,"Aleutians East Borough, AK",8.7,6.8,2.7
02016,AK,Aleutians West Census Area,"Aleutians West Census Area, AK",5.8,6.9,3.3
02020,AK,Anchorage Borough/municipality,"Anchorage Borough/municipality, AK",5.4,5.4,5.5
02050,AK,Bethel Census Area,"Bethel Census Area, AK",13.9,15.4,14.2
02060,AK,Bristol Bay Borough,"Bristol Bay Borough, AK",4.9,9.8,7.0
02068,AK,Denali Borough,"Denali Borough, AK",6.1,13.8,9.1
02070,AK,Dillingham Census Area,"Dillingham Census Area, AK",9.3,9.9,9.6
02090,AK,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",6.1,6.1,5.9
02100,AK,Haines Borough,"Haines Borough, AK",8.8,10.0,10.3
02105,AK,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK",,14.3,11.8
02110,AK,Juneau Borough/city,"Juneau Borough/city, AK",4.8,5.1,4.5
02122,AK,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",8.2,8.6,8.5
02130,AK,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK",5.9,8.1,6.5
02150,AK,Kodiak Island Borough,"Kodiak Island Borough, AK",6.8,6.7,5.1
02158,AK,Kusilvak Census Area,"Kusilvak Census Area, AK",20.6,22.1,21.6
02164,AK,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK",6.9,15.2,12.5
02170,AK,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK",7.6,8.7,8.2
02180,AK,Nome Census Area,"Nome Census Area, AK",10.4,11.7,12.7
02185,AK,North Slope Borough,"North Slope Borough, AK",4.2,7.7,6.8
02188,AK,Northwest Arctic Borough,"Northwest Arctic Borough, AK",11.6,15.7,16.0
02195,AK,Petersburg Borough,"Petersburg Borough, AK",,8.1,9.0
02198,AK,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK",,13.3,12.2
02201,AK,Prince of Wales-Outer Ketchikan Census Area,"Prince of Wales-Outer Ketchikan Census Area, AK",13.8,,
02220,AK,Sitka Borough/city,"Sitka Borough/city, AK",5.8,5.7,4.6
02230,AK,Skagway Municipality,"Skagway Municipality, AK",,14.1,11.2
02232,AK,Skagway-Hoonah-Angoon Census Area,"Skagway-Hoonah-Angoon Census Area, AK",12.9,,
02240,AK,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK",8.8,12.9,10.8
02261,AK,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, AK",8.4,9.7,8.6
02275,AK,Wrangell Borough/city,"Wrangell Borough/city, AK",,8.2,7.5
02280,AK,Wrangell-Petersburg Census Area,"Wrangell-Petersburg Census Area, AK",10.7,,
02282,AK,Yakutat Borough/city,"Yakutat Borough/city, AK",7.5,9.7,8.2
02290,AK,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK",14.1,17.4,17.9
04000,AZ,Arizona,Arizona,6.2,8.3,5.4
04001,AZ,Apache County,"Apache County, AZ",11.6,19.0,11.4
04003,AZ,Cochise County,"Cochise County, AZ",5.9,9.0,6.2
04005,AZ,Coconino County,"Coconino County, AZ",5.6,8.6,6.0
04007,AZ,Gila County,"Gila County, AZ",6.5,10.2,7.2
04009,AZ,Graham County,"Graham County, AZ",7.1,8.5,6.7
04011,AZ,Greenlee County,"Greenlee County, AZ",5.3,8.2,7.6
04012,AZ,La Paz County,"La Paz County, AZ",7.7,8.6,6.0
04013,AZ,Maricopa County,"Maricopa County, AZ",5.4,7.3,4.6
04015,AZ,Mohave County,"Mohave County, AZ",7.7,11.0,6.6
04017,AZ,Navajo County,"Navajo County, AZ",10.1,14.1,8.2
