FIPS,State,County,Area_name,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
42000,PA,Pennsylvania,Pennsylvania,5.3,7.8,5.4
42001,PA,Adams County,"Adams County, PA",4.3,6.4,4.0
42003,PA,Allegheny County,"Allegheny County, PA",4.8,7.0,5.2
42005,PA,Armstrong County,"Armstrong County, PA",5.9,8.0,7.5
42007,PA,Beaver County,"Beaver County, PA",5.5,7.5,6.2
42009,PA,Bedford County,"Bedford County, PA",6.8,8.6,5.8
42011,PA,Berks County,"Berks County, PA",5.3,7.7,5.0
42013,PA,Blair County,"Blair County, PA",5.2,7.4,5.3
42015,PA,Bradford County,"Bradford County, PA",5.3,6.9,6.5
42017,PA,Bucks County,"Bucks County, PA",4.7,7.2,4.6
42019,PA,Butler County,"Butler County, PA",4.6,6.4,5.0
42021,PA,Cambria County,"Cambria County, PA",6.1,8.8,6.8
42023,PA,Cameron County,"Cameron County, PA",9.0,10.3,7.4
42025,PA,Carbon County,"Carbon County, PA",6.7,10.0,6.0
42027,PA,Centre County,"Centre County, PA",4.3,5.5,4.2
42029,PA,Chester County,"Chester County, PA",3.9,5.6,3.9
42031,PA,Clarion County,"Clarion County, PA",6.2,9.0,6.1
42033,PA,Clearfield County,"Clearfield County, PA",6.7,9.4,7.3
42035,PA,Clinton County,"Clinton County, PA",6.2,8.8,7.1
42037,PA,Columbia County,"Columbia County, PA",5.9,8.3,5.5
42039,PA,Crawford County,"Crawford County, PA",5.6,7.6,6.0
42041,PA,Cumberland County,"Cumberland County, PA",4.2,6.2,4.1
42043,PA,Dauphin County,"Dauphin County, PA",4.7,7.4,4.8
42045,PA,Delaware County,"Delaware County, PA",5.0,7.7,4.9
42047,PA,Elk County,"Elk County, PA",6.0,7.0,5.5
42049,PA,Erie County,"Erie County, PA",5.6,7.8,6.5
42051,PA,Fayette County,"Fayette County, PA",6.5,9.9,8.1
42053,PA,Forest County,"Forest County, PA",7.7,9.8,7.8
42055,PA,Franklin County,"Franklin County, PA",4.3,7.0,5.1
42057,PA,Fulton County,"Fulton County, PA",7.2,9.2,6.3
42059,PA,Greene County,"Greene County, PA",5.8,7.3,7.7
42061,PA,Huntingdon County,"Huntingdon County, PA",6.6,9.9,7.0
42063,PA,Indiana County,"Indiana County, PA",5.3,8.1,7.3
42065,PA,Jefferson County,"Jefferson County, PA",5.5,8.3,6.8
42067,PA,Juniata County,"Juniata County, PA",5.3,7.3,5.3
42069,PA,Lackawanna County,"Lackawanna County, PA",5.8,8.8,5.6
42071,PA,Lancaster County,"Lancaster County, PA",4.3,6.5,4.1
42073,PA,Lawrence County,"Lawrence County, PA",6.2,7.9,6.7
42075,PA,Lebanon County,"Lebanon County, PA",4.2,6.7,4.5
42077,PA,Lehigh County,"Lehigh County, PA",5.6,8.5,5.3
42079,PA,Luzerne County,"Luzerne County, PA",6.2,9.8,6.3
42081,PA,Lycoming County,"Lycoming County, PA",5.9,7.9,6.6
42083,PA,McKean County,"McKean County, PA",6.1,8.4,6.6
42085,PA,Mercer County,"Mercer County, PA",6.7,7.6,6.0
42087,PA,Mifflin County,"Mifflin County, PA",6.6,8.7,5.7
42089,PA,Monroe County,"Monroe County, PA",6.0,9.8,6.2
42091,PA,Montgomery County,"Montgomery County, PA",4.3,6.4,4.1
42093,PA,Montour County,"Montour County, PA",4.8,5.8,4.3
42095,PA,Northampton County,"Northampton County, PA",5.5,8.1,5.2
42097,PA,Northumberland County,"Northumberland County, PA",6.5,9.1,6.2
42099,PA,Perry County,"Perry County, PA",5.2,7.3,4.6
42101,PA,Philadelphia County/city,"Philadelphia County/city, PA",7.1,10.9,6.7
42103,PA,Pike County,"Pike County, PA",6.0,10.1,6.4
42105,PA,Potter County,"Potter County, PA",7.1,9.1,7.8
42107,PA,Schuylkill County,"Schuylkill County, PA",6.2,9.7,6.2
42109,PA,Snyder County,"Snyder County, PA",6.1,7.6,4.7
42111,PA,Somerset County,"Somerset County, PA",6.3,8.9,7.2
42113,PA,Sullivan County,"Sullivan County, PA",5.7,7.8,7.2
42115,PA,Susquehanna County,"Susquehanna County, PA",5.7,7.6,5.7
42117,PA,Tioga County,"Tioga County, PA",6.1,7.6,7.1
42119,PA,Union County,"Union County, PA",6.3,6.4,4.8
42121,PA,Venango County,"Venango County, PA",5.7,7.7,7.2
42123,PA,Warren County,"Warren County, PA",5.2,6.8,5.5
42125,PA,Washington County,"Washington County, PA",5.2,7.2,6.1
42127,PA,Wayne County,"Wayne County, PA",5.2,8.0,5.7
42129,PA,Westmoreland County,"Westmoreland County, PA",5.3,7.4,5.8
42131,PA,Wyoming County,"Wyoming County, PA",6.0,8.9,6.2
42133,PA,York County,"York County, PA",4.7,7.4,4.6
