Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2016,California,CA,Alameda,6001.0,14.66,republican
2016,California,CA,Alpine,6003.0,36.05,republican
2016,California,CA,Amador,6005.0,59.12,republican
2016,California,CA,Butte,6007.0,47.24,republican
2016,California,CA,Calaveras,6009.0,58.4,republican
2016,California,CA,Colusa,6011.0,53.54,republican
2016,California,CA,Contra Costa,6013.0,24.87,republican
2016,California,CA,Del Norte,6015.0,53.71,republican
2016,California,CA,El Dorado,6017.0,52.62,republican
2016,California,CA,Fresno,6019.0,43.94,republican
2016,California,CA,Glenn,6021.0,61.12,republican
2016,California,CA,Humboldt,6023.0,31.01,republican
2016,California,CA,Imperial,6025.0,26.42,republican
2016,California,CA,Inyo,6027.0,52.54,republican
2016,California,CA,Kern,6029.0,53.07,republican
2016,California,CA,Kings,6031.0,53.35,republican
2016,California,CA,Lake,6033.0,43.27,republican
2016,California,CA,Lassen,6035.0,71.97,republican
2016,California,CA,Los Angeles,6037.0,22.41,republican
2016,California,CA,Madera,6039.0,54.18,republican
2016,California,CA,Marin,6041.0,15.63,republican
2016,California,CA,Mariposa,6043.0,58.41,republican
2016,California,CA,Mendocino,6045.0,29.05,republican
2016,California,CA,Merced,6047.0,40.58,republican
2016,California,CA,Modoc,6049.0,71.17,republican
2016,California,CA,Mono,6051.0,40.01,republican
2016,California,CA,Monterey,6053.0,26.16,republican
2016,California,CA,Napa,6055.0,28.37,republican
2016,California,CA,Nevada,6057.0,42.53,republican
2016,California,CA,Orange,6059.0,42.35,republican
2016,California,CA,Placer,6061.0,52.03,republican
2016,California,CA,Plumas,6063.0,56.01,republican
2016,California,CA,Riverside,6065.0,44.35,republican
2016,California,CA,Sacramento,6067.0,33.93,republican
2016,California,CA,San Benito,6069.0,35.76,republican
2016,California,CA,San Bernardino,6071.0,41.48,republican
2016,California,CA,San Diego,6073.0,36.57,republican
2016,California,CA,San Francisco,6075.0,9.29,republican
2016,California,CA,San Joaquin,6077.0,39.67,republican
2016,California,CA,San Luis Obispo,6079.0,41.6,republican
2016,California,CA,San Mateo,6081.0,18.43,republican
2016,California,CA,Santa Barbara,6083.0,31.88,republican
2016,California,CA,Santa Clara,6085.0,20.58,republican
2016,California,CA,Santa Cruz,6087.0,17.42,republican
2016,California,CA,Shasta,6089.0,64.68,republican
2016,California,CA,Sierra,6091.0,57.27,republican
2016,California,CA,Siskiyou,6093.0,55.34,republican
2016,California,CA,Solano,6095.0,31.26,republican
2016,California,CA,Sonoma,6097.0,22.23,republican
2016,California,CA,Stanislaus,6099.0,45.6,republican
2016,California,CA,Sutter,6101.0,54.22,republican
2016,California,CA,Tehama,6103.0,64.81,republican
2016,California,CA,Trinity,6105.0,49.45,republican
2016,California,CA,Tulare,6107.0,51.9,republican
2016,California,CA,Tuolumne,6109.0,57.0,republican
2016,California,CA,Ventura,6111.0,37.62,republican
2016,California,CA,Yolo,6113.0,25.26,republican
2016,California,CA,Yuba,6115.0,57.27,republican
