Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2008,Pennsylvania,PA,Adams,42001.0,59.23,republican
2008,Pennsylvania,PA,Allegheny,42003.0,41.81,republican
2008,Pennsylvania,PA,Armstrong,42005.0,61.66,republican
2008,Pennsylvania,PA,Beaver,42007.0,50.79,republican
2008,Pennsylvania,PA,Bedford,42009.0,71.85,republican
2008,Pennsylvania,PA,Berks,42011.0,44.76,republican
2008,Pennsylvania,PA,Blair,42013.0,61.62,republican
2008,Pennsylvania,PA,Bradford,42015.0,58.4,republican
2008,Pennsylvania,PA,Bucks,42017.0,45.13,republican
2008,Pennsylvania,PA,Butler,42019.0,63.17,republican
2008,Pennsylvania,PA,Cambria,42021.0,48.76,republican
2008,Pennsylvania,PA,Cameron,42023.0,57.25,republican
2008,Pennsylvania,PA,Carbon,42025.0,48.13,republican
2008,Pennsylvania,PA,Centre,42027.0,43.56,republican
2008,Pennsylvania,PA,Chester,42029.0,44.99,republican
2008,Pennsylvania,PA,Clarion,42031.0,60.44,republican
2008,Pennsylvania,PA,Clearfield,42033.0,55.26,republican
2008,Pennsylvania,PA,Clinton,42035.0,50.73,republican
2008,Pennsylvania,PA,Columbia,42037.0,51.63,republican
2008,Pennsylvania,PA,Crawford,42039.0,54.5,republican
2008,Pennsylvania,PA,Cumberland,42041.0,56.26,republican
2008,Pennsylvania,PA,Dauphin,42043.0,44.96,republican
2008,Pennsylvania,PA,Delaware,42045.0,38.89,republican
2008,Pennsylvania,PA,Elk,42047.0,46.82,republican
2008,Pennsylvania,PA,Erie,42049.0,39.45,republican
2008,Pennsylvania,PA,Fayette,42051.0,49.63,republican
2008,Pennsylvania,PA,Forest,42053.0,55.89,republican
2008,Pennsylvania,PA,Franklin,42055.0,65.85,republican
2008,Pennsylvania,PA,Fulton,42057.0,73.61,republican
2008,Pennsylvania,PA,Greene,42059.0,49.43,republican
2008,Pennsylvania,PA,Huntingdon,42061.0,62.99,republican
2008,Pennsylvania,PA,Indiana,42063.0,52.89,republican
2008,Pennsylvania,PA,Jefferson,42065.0,64.13,republican
2008,Pennsylvania,PA,Juniata,42067.0,66.77,republican
2008,Pennsylvania,PA,Lackawanna,42069.0,36.61,republican
2008,Pennsylvania,PA,Lancaster,42071.0,55.49,republican
2008,Pennsylvania,PA,Lawrence,42073.0,51.92,republican
2008,Pennsylvania,PA,Lebanon,42075.0,58.91,republican
2008,Pennsylvania,PA,Lehigh,42077.0,41.57,republican
2008,Pennsylvania,PA,Luzerne,42079.0,45.22,republican
2008,Pennsylvania,PA,Lycoming,42081.0,61.5,republican
2008,Pennsylvania,PA,McKean,42083.0,57.84,republican
2008,Pennsylvania,PA,Mercer,42085.0,49.38,republican
2008,Pennsylvania,PA,Mifflin,42087.0,66.23,republican
2008,Pennsylvania,PA,Monroe,42089.0,41.37,republican
2008,Pennsylvania,PA,Montgomery,42091.0,39.19,republican
2008,Pennsylvania,PA,Montour,42093.0,57.01,republican
2008,Pennsylvania,PA,Northampton,42095.0,43.19,republican
2008,Pennsylvania,PA,Northumberland,42097.0,56.07,republican
2008,Pennsylvania,PA,Perry,42099.0,66.17,republican
2008,Pennsylvania,PA,Philadelphia,42101.0,16.35,republican
2008,Pennsylvania,PA,Pike,42103.0,51.52,republican
2008,Pennsylvania,PA,Potter,42105.0,68.06,republican
2008,Pennsylvania,PA,Schuylkill,42107.0,53.55,republican
2008,Pennsylvania,PA,Snyder,42109.0,63.96,republican
2008,Pennsylvania,PA,Somerset,42111.0,61.67,republican
2008,Pennsylvania,PA,Sullivan,42113.0,59.01,republican
2008,Pennsylvania,PA,Susquehanna,42115.0,55.14,republican
2008,Pennsylvania,PA,Tioga,42117.0,63.04,republican
2008,Pennsylvania,PA,Union,42119.0,56.66,republican
2008,Pennsylvania,PA,Venango,42121.0,58.91,republican
2008,Pennsylvania,PA,Warren,42123.0,52.37,republican
2008,Pennsylvania,PA,Washington,42125.0,51.79,republican
2008,Pennsylvania,PA,Wayne,42127.0,55.63,republican
2008,Pennsylvania,PA,Westmoreland,42129.0,57.86,republican
2008,Pennsylvania,PA,Wyoming,42131.0,53.19,republican
2008,Pennsylvania,PA,York,42133.0,56.27,republican
