Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2012,Texas,TX,Anderson,48001.0,75.64,republican
2012,Texas,TX,Andrews,48003.0,81.19,republican
2012,Texas,TX,Angelina,48005.0,71.47,republican
2012,Texas,TX,Aransas,48007.0,70.79,republican
2012,Texas,TX,Archer,48009.0,86.46,republican
2012,Texas,TX,Armstrong,48011.0,88.56,republican
2012,Texas,TX,Atascosa,48013.0,58.65,republican
2012,Texas,TX,Austin,48015.0,79.53,republican
2012,Texas,TX,Bailey,48017.0,73.73,republican
2012,Texas,TX,Bandera,48019.0,78.6,republican
2012,Texas,TX,Bastrop,48021.0,57.32,republican
2012,Texas,TX,Baylor,48023.0,81.47,republican
2012,Texas,TX,Bee,48025.0,55.29,republican
2012,Texas,TX,Bell,48027.0,57.51,republican
2012,Texas,TX,Bexar,48029.0,47.04,republican
2012,Texas,TX,Blanco,48031.0,73.16,republican
2012,Texas,TX,Borden,48033.0,89.26,republican
2012,Texas,TX,Bosque,48035.0,80.0,republican
2012,Texas,TX,Bowie,48037.0,70.24,republican
2012,Texas,TX,Brazoria,48039.0,66.39,republican
2012,Texas,TX,Brazos,48041.0,66.49,republican
2012,Texas,TX,Brewster,48043.0,51.1,republican
2012,Texas,TX,Briscoe,48045.0,82.34,republican
2012,Texas,TX,Brooks,48047.0,21.1,republican
2012,Texas,TX,Brown,48049.0,85.29,republican
2012,Texas,TX,Burleson,48051.0,72.35,republican
2012,Texas,TX,Burnet,48053.0,76.46,republican
2012,Texas,TX,Caldwell,48055.0,54.4,republican
2012,Texas,TX,Calhoun,48057.0,62.33,republican
2012,Texas,TX,Callahan,48059.0,84.24,republican
2012,Texas,TX,Cameron,48061.0,33.94,republican
2012,Texas,TX,Camp,48063.0,66.46,republican
2012,Texas,TX,Carson,48065.0,88.23,republican
2012,Texas,TX,Cass,48067.0,74.34,republican
2012,Texas,TX,Castro,48069.0,69.37,republican
2012,Texas,TX,Chambers,48071.0,79.99,republican
2012,Texas,TX,Cherokee,48073.0,75.0,republican
2012,Texas,TX,Childress,48075.0,83.42,republican
2012,Texas,TX,Clay,48077.0,84.36,republican
2012,Texas,TX,Cochran,48079.0,70.77,republican
2012,Texas,TX,Coke,48081.0,86.51,republican
2012,Texas,TX,Coleman,48083.0,86.25,republican
2012,Texas,TX,Collin,48085.0,65.02,republican
2012,Texas,TX,Collingsworth,48087.0,83.65,republican
2012,Texas,TX,Colorado,48089.0,74.24,republican
2012,Texas,TX,Comal,48091.0,76.3,republican
