FIPS,State,County,Area_name,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
48000,TX,Texas,Texas,4.8,6.7,4.6
48001,TX,Anderson County,"Anderson County, TX",5.6,6.3,4.3
48003,TX,Andrews County,"Andrews County, TX",3.3,4.0,4.7
48005,TX,Angelina County,"Angelina County, TX",4.7,6.9,5.9
48007,TX,Aransas County,"Aransas County, TX",4.4,7.0,5.6
48009,TX,Archer County,"Archer County, TX",3.6,5.5,4.3
48011,TX,Armstrong County,"Armstrong County, TX",3.5,4.5,2.8
48013,TX,Atascosa County,"Atascosa County, TX",4.7,6.7,5.3
48015,TX,Austin County,"Austin County, TX",4.2,6.4,5.3
48017,TX,Bailey County,"Bailey County, TX",4.1,6.9,4.4
48019,TX,Bandera County,"Bandera County, TX",4.4,6.6,4.1
48021,TX,Bastrop County,"Bastrop County, TX",4.9,6.7,3.7
48023,TX,Baylor County,"Baylor County, TX",3.7,5.1,3.6
48025,TX,Bee County,"Bee County, TX",6.1,7.0,7.5
48027,TX,Bell County,"Bell County, TX",4.8,7.4,4.5
48029,TX,Bexar County,"Bexar County, TX",4.6,6.3,3.7
48031,TX,Blanco County,"Blanco County, TX",3.6,5.2,3.1
48033,TX,Borden County,"Borden County, TX",3.3,4.3,3.6
48035,TX,Bosque County,"Bosque County, TX",4.5,7.2,4.3
48037,TX,Bowie County,"Bowie County, TX",4.9,7.4,4.7
48039,TX,Brazoria County,"Brazoria County, TX",5.1,6.7,5.2
48041,TX,Brazos County,"Brazos County, TX",3.9,5.3,3.5
48043,TX,Brewster County,"Brewster County, TX",3.7,5.1,3.8
48045,TX,Briscoe County,"Briscoe County, TX",4.3,5.4,4.4
48047,TX,Brooks County,"Brooks County, TX",5.3,8.7,11.8
48049,TX,Brown County,"Brown County, TX",4.4,6.8,4.3
48051,TX,Burleson County,"Burleson County, TX",4.4,6.3,4.6
48053,TX,Burnet County,"Burnet County, TX",3.9,6.0,3.5
48055,TX,Caldwell County,"Caldwell County, TX",5.2,7.2,4.3
48057,TX,Calhoun County,"Calhoun County, TX",4.7,7.3,5.6
48059,TX,Callahan County,"Callahan County, TX",3.6,6.1,4.3
48061,TX,Cameron County,"Cameron County, TX",6.6,10.3,7.2
48063,TX,Camp County,"Camp County, TX",4.8,8.0,6.8
48065,TX,Carson County,"Carson County, TX",3.3,4.6,3.3
48067,TX,Cass County,"Cass County, TX",6.1,9.2,7.2
48069,TX,Castro County,"Castro County, TX",3.6,4.4,3.1
48071,TX,Chambers County,"Chambers County, TX",5.7,8.0,6.1
48073,TX,Cherokee County,"Cherokee County, TX",5.8,7.2,5.1
48075,TX,Childress County,"Childress County, TX",5.0,4.4,3.0
48077,TX,Clay County,"Clay County, TX",3.9,5.6,4.4
48079,TX,Cochran County,"Cochran County, TX",4.7,7.5,5.1
48081,TX,Coke County,"Coke County, TX",7.7,5.1,4.2
48083,TX,Coleman County,"Coleman County, TX",4.1,7.5,5.8
48085,TX,Collin County,"Collin County, TX",4.5,5.9,3.5
48087,TX,Collingsworth County,"Collingsworth County, TX",3.9,5.0,3.5
48089,TX,Colorado County,"Colorado County, TX",3.9,6.4,4.7
48091,TX,Comal County,"Comal County, TX",4.0,6.0,3.6
48093,TX,Comanche County,"Comanche County, TX",3.8,6.4,4.3
48095,TX,Concho County,"Concho County, TX",5.1,4.2,3.4
48097,TX,Cooke County,"Cooke County, TX",3.5,5.0,4.0
48099,TX,Coryell County,"Coryell County, TX",6.2,7.4,4.7
48101,TX,Cottle County,"Cottle County, TX",4.0,7.5,5.1
48103,TX,Crane County,"Crane County, TX",4.1,4.9,8.6
48105,TX,Crockett County,"Crockett County, TX",2.9,5.0,7.5
48107,TX,Crosby County,"Crosby County, TX",4.9,7.2,4.4
48109,TX,Culberson County,"Culberson County, TX",2.9,6.1,4.1
48111,TX,Dallam County,"Dallam County, TX",3.0,3.7,2.2
48113,TX,Dallas County,"Dallas County, TX",5.3,7.1,4.0
48115,TX,Dawson County,"Dawson County, TX",5.3,6.4,5.0
48117,TX,Deaf Smith County,"Deaf Smith County, TX",3.8,4.7,3.1
48119,TX,Delta County,"Delta County, TX",5.3,6.7,3.8
48121,TX,Denton County,"Denton County, TX",4.4,5.7,3.4
48123,TX,DeWitt County,"DeWitt County, TX",4.1,4.8,5.5
48125,TX,Dickens County,"Dickens County, TX",5.0,10.7,4.9
